,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
0,Alofi,NU,82.29,scattered clouds,-19.0595,-169.9187,Taloa Heights
1,Kavieng,PG,83.55,light rain,-2.5744,150.7967,Nusa Island Retreat
2,Kapaa,US,84.18,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
3,Sao Joao Da Barra,BR,73.87,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
4,Lorengau,PG,83.23,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
5,Guerrero Negro,MX,78.57,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
6,Dakoro,NE,86.27,few clouds,14.5106,6.765,Shagon mai liverpool
7,Jalu,LY,70.72,broken clouds,29.0331,21.5482,صاحبة الفخامة
8,Hobart,AU,71.02,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
9,Georgetown,MY,80.89,scattered clouds,5.4112,100.3354,Cititel Penang
10,Rikitea,PF,74.23,few clouds,-23.1203,-134.9692,People ThankYou
11,Riyadh,SA,78.94,scattered clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
12,Phangnga,TH,77.04,overcast clouds,8.4509,98.5298,Sunimit Mansion
13,Matay,EG,74.59,clear sky,28.419,30.7792,Nag Aespen
14,Promissao,BR,71.71,moderate rain,-21.5367,-49.8581,Recanto Monte Cristo
15,Yeppoon,AU,82.18,few clouds,-23.1333,150.7333,Villa Mar Colina
16,Am Timan,TD,80.85,broken clouds,11.0297,20.2827,Palais du chef Canton Salamt
17,Atuona,PF,77.59,clear sky,-9.8,-139.0333,Villa Enata
18,Fortuna,US,70.93,scattered clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
19,Comodoro Rivadavia,AR,73.26,clear sky,-45.8667,-67.5,Austral Hotel
20,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
21,Pacific Grove,US,77.61,clear sky,36.6177,-121.9166,Lovers Point Inn
22,Hithadhoo,MV,81.39,scattered clouds,-0.6,73.0833,Scoop Guest House
23,Hilo,US,82.13,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
24,Mahebourg,MU,71.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
26,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
27,Kendari,ID,79.27,broken clouds,-3.945,122.4989,Hotel Wixel
28,Maceio,BR,80.04,scattered clouds,-9.6658,-35.7353,Poutur Pousada
29,Morant Bay,JM,83.82,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
30,Bonthe,SL,78.6,moderate rain,7.5264,-12.505,Bonthe Holiday Village
31,Harper,LR,77.43,broken clouds,4.375,-7.7169,Screensaver
32,Phalodi,IN,74.95,clear sky,27.1333,72.3667,"HOTEL NEW GOLDEN PALACE , PHALODI"
35,Albury,AU,72.01,scattered clouds,-36.0833,146.9167,Albury Georgian Motel & Suites
37,Arraial Do Cabo,BR,72.61,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
38,Temanggung,ID,72.0,overcast clouds,-7.3162,110.1755,Hotel
39,Tucupita,VE,74.26,broken clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
40,Tuy Hoa,VN,75.85,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
43,Vung Tau,VN,77.63,broken clouds,10.346,107.0843,Green hotel
44,Lethem,GY,81.52,broken clouds,3.3803,-59.7968,Savannah Inn
46,Brasileia,BR,82.85,few clouds,-11.0161,-68.7481,Pousada Tobias
47,Kavaratti,IN,80.76,moderate rain,10.5669,72.642,Hotels in Lakshadweep Islands
48,Butaritari,KI,79.3,light rain,3.0707,172.7902,Isles Sunset Lodge
49,Samarai,PG,83.07,overcast clouds,-10.6167,150.6667,Nuli Sapi
50,Xuddur,SO,72.75,scattered clouds,4.1213,43.8894,Banjanay Hotel
51,Ghatal,IN,71.71,scattered clouds,22.6667,87.7167,Mongal Bhawan
52,Emerald,AU,84.97,clear sky,-23.5333,148.1667,The Irish Village
53,Puerto Escondido,MX,86.83,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
54,Kiunga,PG,80.46,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
55,Kiama,AU,78.26,broken clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
56,Tuxpan,MX,73.17,broken clouds,19.55,-103.4,Hotel y Restaurante Campestre La Cabaña
57,Tiruvallur,IN,80.24,overcast clouds,13.15,79.9167,Aarya Rooms
59,Kalmunai,LK,77.83,overcast clouds,7.4167,81.8167,VS Villa
60,Wangaratta,AU,72.16,light rain,-36.3667,146.3333,Quality Hotel Wangaratta Gateway
61,Mount Isa,AU,85.77,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
62,Gushikawa,JP,72.63,broken clouds,26.3544,127.8686,Kirari Guest House
63,Cabo San Lucas,MX,87.94,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
